plotID,pml_gpp
ABBY_001,5.614434782608695
ABBY_002,5.133608695652174
ABBY_003,5.283956521739131
ABBY_004,5.1960434782608695
ABBY_005,5.898782608695653
ABBY_006,5.9736086956521754
ABBY_007,5.086217391304347
ABBY_008,5.614478260869565
ABBY_009,5.1960434782608695
ABBY_010,5.83104347826087
ABBY_011,5.465695652173912
ABBY_012,6.347608695652173
ABBY_013,5.557130434782609
ABBY_014,5.559347826086958
ABBY_015,4.430173913043478
ABBY_016,5.4212173913043475
ABBY_017,5.239782608695652
ABBY_018,5.713565217391304
ABBY_019,5.414739130434784
ABBY_023,5.660260869565218
ABBY_025,5.708260869565217
ABBY_061,5.220956521739131
ABBY_062,5.22095652173913
ABBY_063,5.220956521739131
ABBY_064,5.220956521739131
ABBY_065,5.231086956521739
ABBY_066,5.220956521739131
ABBY_067,5.220956521739131
ABBY_068,5.220956521739131
ABBY_069,5.22095652173913
ABBY_070,5.220956521739131
ABBY_073,5.22095652173913
ABBY_074,5.22095652173913
ABBY_075,5.319304347826088
ABBY_076,5.220956521739131
ABBY_077,5.748000000000001
BART_001,4.382826086956522
BART_002,4.073739130434783
BART_003,4.8773478260869565
BART_004,4.170956521739131
BART_005,5.031521739130435
BART_006,4.277869565217391
BART_007,4.298739130434782
BART_010,4.384608695652174
BART_011,4.298739130434782
BART_012,4.24895652173913
BART_013,4.127130434782609
BART_015,4.444478260869566
BART_016,4.961565217391305
BART_018,4.921217391304348
BART_019,4.791478260869566
BART_023,4.384608695652174
BART_024,4.384608695652174
BART_025,4.717086956521738
BART_026,4.717086956521738
BART_027,4.8235652173913035
BART_028,4.3530434782608705
BART_032,4.791478260869566
BART_033,4.30908695652174
BART_034,4.30908695652174
BART_036,4.171434782608695
BART_037,4.375608695652174
BART_039,4.153826086956522
BART_040,4.152652173913044
BART_041,4.30908695652174
BART_042,4.171434782608695
BART_044,4.375608695652174
BART_046,4.375608695652174
BART_047,4.152652173913044
BART_050,4.171434782608695
BART_051,4.153826086956522
BART_070,4.30908695652174
BART_071,4.790739130434782
BART_072,4.171434782608695
BART_073,4.153826086956522
BART_074,4.375608695652174
BART_075,4.171434782608695
BLAN_001,4.667173913043479
BLAN_003,4.634391304347827
BLAN_004,4.7194782608695665
BLAN_005,4.831478260869565
BLAN_006,5.378217391304348
BLAN_007,4.950695652173913
BLAN_008,4.950695652173913
BLAN_009,4.667173913043479
BLAN_010,4.7194782608695665
BLAN_011,4.545434782608696
BLAN_012,5.378217391304348
BLAN_013,4.402608695652174
BLAN_014,4.7950869565217396
BLAN_015,5.553217391304348
BLAN_016,4.7194782608695665
BLAN_017,4.831478260869565
BLAN_018,5.378217391304348
BLAN_019,4.718434782608696
BLAN_020,4.840130434782608
BLAN_031,4.254130434782608
BLAN_032,5.228434782608696
BLAN_033,4.6345217391304345
BLAN_034,4.254130434782608
BLAN_035,5.228434782608696
BLAN_036,4.149913043478262
BLAN_037,4.254130434782608
BLAN_038,4.6345217391304345
BLAN_039,4.6345217391304345
BLAN_040,4.6345217391304345
BLAN_041,4.149913043478262
BLAN_042,4.6345217391304345
BLAN_043,4.6345217391304345
BLAN_044,4.254130434782608
BLAN_045,4.6345217391304345
BLAN_046,5.228434782608696
BLAN_047,4.149913043478262
BLAN_048,4.149913043478262
BLAN_049,4.254130434782608
BLAN_050,4.149913043478262
BLAN_051,4.6345217391304345
BLAN_052,4.254130434782608
BLAN_053,5.228434782608696
BLAN_054,4.6345217391304345
BLAN_055,4.254130434782608
BLAN_056,4.6345217391304345
BLAN_057,5.228434782608696
BLAN_059,5.228434782608696
BLAN_060,4.6345217391304345
BLAN_063,4.149913043478262
BLAN_064,4.254130434782608
BLAN_068,4.7194782608695665
GRSM_001,5.698608695652174
GRSM_002,6.011347826086956
GRSM_003,4.965782608695653
GRSM_004,5.776869565217391
GRSM_005,5.657565217391303
GRSM_006,5.602347826086957
GRSM_007,4.646608695652174
GRSM_008,4.882652173913043
GRSM_009,4.574260869565217
GRSM_010,5.792695652173913
GRSM_011,5.805869565217391
GRSM_012,4.234434782608696
GRSM_013,5.694782608695653
GRSM_014,5.56495652173913
GRSM_015,5.6414347826086955
GRSM_016,4.167565217391304
GRSM_017,5.364086956521739
GRSM_018,5.859652173913043
GRSM_019,5.602347826086957
GRSM_025,5.376347826086957
GRSM_047,5.15708695652174
GRSM_048,5.1750869565217394
GRSM_049,4.8459130434782605
GRSM_050,4.73213043478261
GRSM_051,5.15708695652174
GRSM_052,4.550521739130434
GRSM_053,4.6287391304347825
GRSM_054,4.550521739130434
GRSM_055,4.6287391304347825
GRSM_056,5.15708695652174
GRSM_057,5.1750869565217394
GRSM_058,5.045826086956522
GRSM_059,5.15708695652174
GRSM_060,5.15708695652174
GRSM_061,5.15708695652174
GRSM_062,4.550521739130434
GRSM_063,4.6287391304347825
GRSM_064,5.15708695652174
GRSM_065,5.045826086956522
GRSM_066,5.1750869565217394
HARV_001,4.684521739130434
HARV_002,5.198
HARV_004,4.8083478260869565
HARV_005,3.806086956521739
HARV_006,4.1966086956521735
HARV_008,4.602130434782609
HARV_010,0.024391304347826083
HARV_011,4.690478260869566
HARV_012,4.732826086956521
HARV_013,4.929391304347826
HARV_014,4.494565217391304
HARV_015,5.348391304347826
HARV_016,4.764391304347827
HARV_017,4.737434782608696
HARV_020,4.765782608695653
HARV_021,5.105
HARV_022,5.133826086956522
HARV_023,5.255869565217391
HARV_024,5.022130434782609
HARV_025,4.550217391304348
HARV_026,4.863695652173914
HARV_027,4.764652173913043
HARV_033,5.348999999999999
HARV_034,5.348999999999999
HARV_035,4.942695652173913
HARV_036,4.857260869565217
HARV_037,5.348999999999999
HARV_038,5.348999999999999
HARV_039,4.952782608695652
HARV_040,4.942695652173913
HARV_041,5.348391304347826
HARV_042,4.952782608695652
HARV_043,4.942695652173913
HARV_044,5.348999999999999
HARV_045,4.857260869565217
HARV_046,5.348391304347826
HARV_047,5.348999999999999
HARV_048,4.942695652173913
HARV_049,4.952826086956522
HARV_050,5.348999999999999
HARV_051,4.952782608695652
HARV_052,4.942695652173913
JERC_001,5.8265652173913045
JERC_002,5.522695652173913
JERC_003,5.8265652173913045
JERC_004,5.60186956521739
JERC_005,5.376478260869566
JERC_006,4.858347826086956
JERC_007,5.930565217391304
JERC_008,5.376478260869566
JERC_009,5.4179130434782605
JERC_010,5.509260869565217
JERC_011,5.3254782608695646
JERC_012,4.982652173913044
JERC_013,5.475869565217392
JERC_014,5.3072608695652175
JERC_015,5.5719130434782596
JERC_016,5.481782608695651
JERC_019,5.969565217391304
JERC_021,5.712782608695653
JERC_022,5.37991304347826
JERC_028,3.238956521739131
JERC_029,5.3254782608695646
JERC_030,6.019217391304347
JERC_031,5.471913043478261
JERC_033,5.571739130434782
JERC_034,5.290260869565218
JERC_035,5.275130434782608
JERC_036,5.481782608695651
JERC_038,5.713173913043478
JERC_040,5.300869565217391
JERC_041,6.1293478260869545
JERC_042,5.509260869565217
JERC_044,5.825956521739131
JERC_047,5.522565217391304
JERC_048,5.522695652173913
JERC_049,5.522565217391304
JERC_050,5.522565217391304
JERC_051,5.471913043478261
JERC_052,5.522565217391304
JERC_053,5.522695652173913
JERC_054,5.662391304347826
JERC_055,5.522565217391304
JERC_056,5.522565217391304
JERC_057,5.471826086956521
JERC_058,5.522695652173913
JERC_059,5.522695652173913
JERC_060,5.471913043478261
JERC_061,5.522565217391304
JERC_062,5.522565217391304
JERC_063,5.522695652173913
JERC_064,5.471913043478261
JERC_065,5.471913043478261
JERC_066,5.522695652173913
MLBS_001,3.954782608695652
MLBS_002,4.264869565217391
MLBS_003,4.086565217391303
MLBS_004,4.765521739130434
MLBS_005,4.0718695652173915
MLBS_006,4.754782608695652
MLBS_007,4.95795652173913
MLBS_008,4.589130434782609
MLBS_009,4.4201304347826085
MLBS_010,4.086565217391303
MLBS_011,4.177521739130435
MLBS_012,4.177521739130435
MLBS_013,5.065739130434783
MLBS_014,4.960304347826087
MLBS_015,4.87495652173913
MLBS_016,4.906304347826087
MLBS_017,3.954782608695652
MLBS_018,4.8331739130434785
MLBS_019,4.681391304347826
MLBS_020,4.786695652173913
MLBS_061,4.4201304347826085
MLBS_062,4.264826086956521
MLBS_063,4.279826086956522
MLBS_064,4.4201304347826085
MLBS_065,4.264869565217391
MLBS_066,4.279826086956522
MLBS_067,4.279826086956522
MLBS_068,4.279826086956522
MLBS_069,4.28004347826087
MLBS_070,4.279826086956522
MLBS_071,4.28004347826087
MLBS_072,4.279826086956522
MLBS_073,4.279826086956522
MLBS_074,4.28004347826087
MLBS_075,4.264869565217391
MLBS_076,4.28004347826087
ORNL_001,3.723565217391304
ORNL_002,4.811652173913044
ORNL_003,5.371956521739131
ORNL_004,5.054173913043478
ORNL_006,5.321217391304348
ORNL_007,5.533608695652174
ORNL_008,5.474956521739131
ORNL_009,4.570826086956522
ORNL_010,5.5829130434782615
ORNL_012,0.026217391304347824
ORNL_014,5.310652173913043
ORNL_015,5.373826086956521
ORNL_017,5.327434782608695
ORNL_018,4.237478260869565
ORNL_019,5.535869565217391
ORNL_021,4.712
ORNL_027,5.254347826086957
ORNL_029,5.179739130434783
ORNL_031,4.065
ORNL_032,5.138173913043477
ORNL_033,5.077304347826087
ORNL_035,5.661521739130434
ORNL_036,5.424521739130435
ORNL_037,5.496608695652174
ORNL_043,5.537695652173913
ORNL_044,5.571478260869565
ORNL_045,5.424521739130435
ORNL_046,5.203086956521739
ORNL_049,5.595565217391305
ORNL_050,5.424521739130435
ORNL_051,5.496608695652174
ORNL_052,5.496608695652174
ORNL_053,5.203086956521739
ORNL_054,5.424521739130435
ORNL_055,5.496608695652174
ORNL_056,5.496608695652174
ORNL_057,5.424521739130435
ORNL_058,5.537695652173913
ORNL_059,5.203086956521739
ORNL_060,5.537695652173913
ORNL_061,5.203086956521739
ORNL_062,5.496608695652174
ORNL_063,5.595565217391305
ORNL_066,5.571478260869565
ORNL_067,5.401652173913043
ORNL_068,4.723347826086957
OSBS_001,5.6869565217391305
OSBS_002,5.122521739130435
OSBS_003,4.258217391304347
OSBS_004,4.731130434782608
OSBS_005,5.464217391304348
OSBS_006,4.440217391304348
OSBS_007,4.656652173913043
OSBS_008,4.68795652173913
OSBS_009,5.700695652173914
OSBS_010,5.651913043478261
OSBS_011,4.651869565217392
OSBS_012,4.134608695652174
OSBS_013,4.731130434782608
OSBS_014,4.813478260869564
OSBS_015,5.838478260869566
OSBS_016,5.104521739130434
OSBS_017,5.388695652173913
OSBS_018,3.8920434782608693
OSBS_020,4.003434782608696
OSBS_021,4.878739130434783
OSBS_022,4.813478260869564
OSBS_023,4.651869565217392
OSBS_024,4.651869565217392
OSBS_025,4.490478260869565
OSBS_026,4.420217391304348
OSBS_027,4.420217391304348
OSBS_028,4.371043478260869
OSBS_029,4.420217391304348
OSBS_030,4.490478260869565
OSBS_031,4.402304347826087
OSBS_032,4.420217391304348
OSBS_033,4.420217391304348
OSBS_034,4.401565217391304
OSBS_035,4.371043478260869
OSBS_036,4.420217391304348
OSBS_037,4.371043478260869
OSBS_038,4.490478260869565
OSBS_039,4.420217391304348
OSBS_040,4.402304347826087
OSBS_041,4.371043478260869
OSBS_042,4.490478260869565
OSBS_043,4.463304347826087
OSBS_044,4.420217391304348
OSBS_048,4.646782608695652
OSBS_049,4.845434782608696
OSBS_050,4.567565217391304
OSBS_051,4.255434782608695
OSBS_063,4.6546956521739125
OSBS_066,5.838478260869566
OSBS_067,4.501739130434784
OSBS_068,4.477652173913044
OSBS_070,4.402304347826087
OSBS_073,5.005869565217391
